,id,platnost_od,platnost_do,akceptovano,mena,cena_za_mwh
0,1000,2022-01-01,2022-12-31,Ano,CZK,3514.5512302554907
1,1001,2022-01-01,2022-12-31,Ano,CZK,5865.009630964585
2,1002,2022-01-01,2022-12-31,Ano,EUR,2045.2632199302318
3,1003,2022-01-01,2022-12-31,Ano,CZK,3855.8678371017863
4,1004,2022-01-01,2022-12-31,Ano,CZK,2489.5067781239964
5,1005,2022-01-01,2022-12-31,Ano,CZK,5151.813166036945
6,1006,2022-01-01,2022-12-31,Ano,EUR,3079.7105817005813
7,1007,2022-01-01,2022-12-31,Ano,CZK,2568.639749249446
8,1008,2022-01-01,2022-12-31,Ano,CZK,4694.906207150139
9,1009,2022-01-01,2022-12-31,Ano,CZK,3125.045992416298
10,1010,2022-01-01,2022-12-31,Ano,CZK,4775.918651924241
11,1011,2022-01-01,2022-12-31,Ano,CZK,2973.814634958213
12,1012,2022-01-01,2022-12-31,Ano,CZK,2533.5777737979342
13,1013,2022-01-01,2022-12-31,Ano,CZK,2735.133964927117
14,1014,2022-01-01,2022-12-31,Ano,EUR,1964.7675831401052
15,1015,2022-01-01,2022-12-31,Ano,CZK,3616.200018747908
16,1016,2022-01-01,2022-12-31,Ne,EUR,3171.8459801254894
17,1017,2022-01-01,2022-12-31,Ne,CZK,3985.813631873382
18,1018,2022-01-01,2022-12-31,Ano,EUR,3979.20876853592
19,1019,2022-01-01,2022-12-31,Ano,EUR,5541.941339560246
20,1020,2022-01-01,2022-12-31,Ano,CZK,3643.8030263774917
21,1021,2022-01-01,2022-12-31,Ano,CZK,3817.3099390301704
22,1022,2022-01-01,2022-12-31,Ano,CZK,3327.709013267582
23,1023,2022-01-01,2022-12-31,Ano,EUR,5007.200781956067
24,1024,2022-01-01,2022-12-31,Ano,EUR,2546.65010198764
25,1025,2022-01-01,2022-12-31,Ano,CZK,5535.1077953063195
26,1026,2022-01-01,2022-12-31,Ano,EUR,4041.7139944887504
27,1027,2022-01-01,2022-12-31,Ne,CZK,4890.575464490403
28,1028,2022-01-01,2022-12-31,Ano,EUR,3106.2543773361685
29,1029,2022-01-01,2022-12-31,Ano,CZK,5806.591687234659
30,1030,2022-01-01,2022-12-31,Ano,CZK,3809.116575467204
31,1031,2022-01-01,2022-12-31,Ano,CZK,4644.160307775617
32,1032,2022-01-01,2022-12-31,Ano,CZK,5559.5296300788505
33,1033,2022-01-01,2022-12-31,Ano,CZK,1950.7051059901269
34,1034,2022-01-01,2022-12-31,Ano,EUR,5720.243673364609
35,1035,2022-01-01,2022-12-31,Ano,CZK,1988.8496993832557
36,1036,2022-01-01,2022-12-31,Ano,CZK,3721.1086474227795
37,1037,2022-01-01,2022-12-31,Ano,EUR,3348.110590464372
38,1038,2022-01-01,2022-12-31,Ne,CZK,2989.6042080915813
39,1039,2022-01-01,2022-12-31,Ano,CZK,5905.304689130946
40,1040,2022-01-01,2022-12-31,Ne,CZK,4639.921368211799
41,1041,2022-01-01,2022-12-31,Ano,CZK,3585.045121917246
42,1042,2022-01-01,2022-12-31,Ano,EUR,2960.593715339708
43,1043,2022-01-01,2022-12-31,Ano,CZK,5701.959303326498
44,1044,2022-01-01,2022-12-31,Ano,CZK,2819.217758690391
45,1045,2022-01-01,2022-12-31,Ne,EUR,5121.952160583719
46,1046,2022-01-01,2022-12-31,Ano,CZK,5691.005551179758
47,1047,2022-01-01,2022-12-31,Ano,CZK,2480.370882295805
48,1048,2022-01-01,2022-12-31,Ne,CZK,4176.546645491489
49,1049,2022-01-01,2022-12-31,Ano,CZK,4999.683529548578
50,1050,2022-01-01,2022-12-31,Ano,CZK,4041.629460819331
51,1051,2022-01-01,2022-12-31,Ano,CZK,2899.97886647218
52,1052,2022-01-01,2022-12-31,Ano,CZK,1923.457588242152
53,1053,2022-01-01,2022-12-31,Ano,CZK,5468.592841520777
54,1054,2022-01-01,2022-12-31,Ano,EUR,5461.598765456996
55,1055,2022-01-01,2022-12-31,Ano,CZK,3594.6221047945164
